title,labels,context,requirements,branch,execution,commit_message
Implement chain-reorg detection and rollback in the indexer,"Stellar Wave, iln-indexer-service",`docs/indexer-data-model.md` describes the indexed state model but the indexer currently has no documented or tested behavior for a chain reorganization past its confirmation depth — on mainnet this would leave indexed state permanently diverged from chain state with no automatic recovery.,"- Detect reorgs by comparing indexed block hashes against the canonical chain on each poll
- Implement rollback of indexed state (and any derived/materialized views) to the last common ancestor block, then replay forward
- Define and enforce a confirmation-depth policy for state considered final vs. provisional, and surface provisional-state markers to API consumers
- Add a reorg-simulation test harness (replayed forked block sequences) and document the guaranteed behavior in `docs/indexer-data-model.md`",feat/indexer-reorg-detection-rollback,- Add chain-reorg detection with automatic state rollback and replay to the indexer,feat: add chain-reorg detection and automatic rollback to the indexer
Add resumable checkpointing for indexer backfill-from-genesis,"Stellar Wave, iln-indexer-service","A full indexer backfill from genesis is required for disaster recovery and multi-region standup, but there's currently no resumable checkpointing — any interruption during a long backfill means restarting from zero, which is untenable at mainnet chain history size.","- Persist backfill progress checkpoints at a configurable interval, durable across process restarts
- On restart, resume from the last committed checkpoint rather than genesis, with integrity verification of the last-checkpointed state
- Measure and document a realistic full-backfill time budget for the current mainnet-projected chain size
- Add a chaos test that kills the backfill process mid-run and verifies correct resume",feat/indexer-resumable-backfill-checkpointing,- Add durable resumable checkpointing to indexer genesis backfill for disaster-recovery scenarios,feat: add resumable checkpointing to indexer backfill-from-genesis
Build a zero-downtime schema-migration safety harness for the indexer,"Stellar Wave, iln-indexer-service",Indexer schema migrations (`scripts/migrations`) currently have no automated dry-run verification against a production-sized dataset before being applied for real — a locking or long-running migration against mainnet-scale data could cause an extended outage.,"- Build tooling to dry-run any pending migration against a production-sized snapshot (row counts and shape representative of projected mainnet scale) and measure lock duration and total run time
- Fail CI/review when a migration exceeds a defined lock-duration budget without an explicit online-migration strategy
- Document the required migration review checklist referencing `docs/migrations.md`
- Add a rollback-verification step confirming every migration's down-path is actually exercised, not just present",chore/indexer-migration-safety-harness,- Add production-sized dry-run and lock-duration budget enforcement for indexer schema migrations,chore: add zero-downtime migration safety harness for the indexer
Extend indexer bulk-export resource-exhaustion protections to streaming pagination,"Stellar Wave, iln-indexer-service","The prior fix hardened indexer bulk export against resource exhaustion for bounded requests, but very large result sets requested via pagination can still accumulate unbounded server-side resource usage across a long-lived export session — this follow-up closes that remaining gap.","- Audit the streaming/pagination export path for unbounded memory or connection accumulation across a long-running export session
- Add per-session resource budgets (time, memory, row count) with graceful cutoff and a documented resumption mechanism
- Add load tests simulating many concurrent large paginated exports to confirm the server stays within capacity
- Document the enforced limits in `docs/api-collection.md`",fix/indexer-streaming-export-resource-limits,- Add per-session resource budgets to indexer's streaming/paginated bulk export path,fix: harden indexer streaming bulk export against unbounded resource accumulation
Guarantee indexer idempotency under duplicate and out-of-order event delivery,"Stellar Wave, iln-indexer-service","The indexer's event-processing pipeline currently assumes ordered, exactly-once delivery from the RPC node, but real-world RPC behavior (reconnects, duplicate polling windows) can and will deliver events out of order or more than once — this needs to be provably safe, not assumed.","- Audit every event-handler for idempotency (safe under duplicate delivery) and ordering-independence (safe under reordering within the confirmation window)
- Add explicit dedup keys / sequence tracking where handlers currently assume ordering
- Add property-based tests that feed shuffled and duplicated event streams and assert identical resulting state
- Document the guaranteed delivery semantics in `docs/indexer-data-model.md`",fix/indexer-event-idempotency-guarantees,- Guarantee indexer event-handler idempotency and ordering-independence under duplicate/out-of-order delivery,fix: guarantee indexer idempotency under duplicate and out-of-order event delivery
Add a scheduled indexed-state reconciliation job comparing indexer state against live contract state,"Stellar Wave, iln-indexer-service","There's currently no independent verification that indexed state actually matches live on-chain contract state on an ongoing basis — silent indexer drift (from a bug, a missed event, or a reorg edge case) could go undetected indefinitely.","- Build a scheduled job that samples indexed entities and re-derives their state directly from live contract calls, comparing for drift
- Alert on any detected drift, tied into the unified metrics/alerting work
- Size the sampling rate to catch drift within an acceptable detection window without imposing excessive RPC load
- Document the reconciliation guarantee and detection window in `docs/indexer-data-model.md`",feat/indexer-state-reconciliation-job,- Add scheduled job reconciling sampled indexed state against live contract state with drift alerting,feat: add scheduled indexer/contract state reconciliation job with drift alerting
Design and validate a horizontal read-replica strategy for the indexer,"Stellar Wave, iln-indexer-service","The indexer currently has no documented strategy for scaling read query load horizontally — at mainnet scale a single writer/reader instance will become a bottleneck, and consumers need explicit staleness bounds if reads are served from replicas.","- Design a read-replica topology (write-primary, N read-replicas) with a documented, bounded replication-lag budget
- Surface replica staleness to API consumers (e.g. an `as-of` block header) so they can make correctness decisions
- Add load tests validating query throughput scales roughly linearly with replica count for the documented read-heavy endpoints
- Document the topology and staleness guarantees in `docs/indexer-data-model.md` and `docs/architecture.md`",feat/indexer-read-replica-strategy,- Add horizontal read-replica topology for the indexer with bounded staleness surfaced to API consumers,feat: add horizontal read-replica strategy with bounded staleness to the indexer
Enforce query-performance budgets for the indexer's heaviest documented queries,"Stellar Wave, iln-indexer-service","Following the `docs/test-runtime-budgets.md` pattern established for test suite runtime, the indexer's most expensive documented queries have no enforced performance budget — a regression could silently degrade API latency until it's reported by an integrator.","- Identify the heaviest queries from `docs/indexer-data-model.md`/`docs/api-collection.md` and benchmark current latency against a production-sized dataset
- Set explicit p50/p95/p99 latency budgets per query and add a CI or scheduled benchmark that fails/alerts on regression
- Add query-plan (EXPLAIN) capture to the benchmark output for regression debugging
- Publish the budgets and current measurements",chore/indexer-query-performance-budgets,- Add enforced p50/p95/p99 latency budgets for the indexer's heaviest documented queries,chore: enforce query-performance budgets for the indexer's heaviest queries
Add a dead-letter queue and replay tooling for malformed indexer events,"Stellar Wave, iln-indexer-service","When the indexer encounters a malformed or unexpected on-chain event shape today, the failure mode is undefined and untested — this risks either silently dropping data or crashing the pipeline, neither of which is acceptable for production indexing.","- Define explicit handling for malformed/unrecognized events: route to a dead-letter store rather than dropping or crashing
- Build replay tooling to reprocess dead-lettered events once a handler fix ships
- Add alerting on any dead-letter accumulation so it's never silently ignored
- Add fuzz tests feeding malformed/unexpected event shapes to confirm the dead-letter path (not a crash) is hit",feat/indexer-dead-letter-queue,- Add dead-letter queue and replay tooling for malformed/unexpected indexer events,feat: add dead-letter queue and replay tooling for malformed indexer events
Produce and rehearse a multi-region indexer failover plan,"Stellar Wave, iln-indexer-service","`docs/mainnet-deployment-dry-run.md` covers deployment but there's no documented, rehearsed plan for indexer failover across regions — a single-region outage currently has no defined recovery procedure or measured recovery time.","- Design a multi-region indexer deployment (active-passive or active-active) with an explicit failover trigger and procedure
- Run an actual failover rehearsal against a staging deployment and record real failover time and any data-consistency issues encountered
- Cross-reference and reconcile with `docs/mainnet-deployment-dry-run.md` and `docs/incident-response.md`
- Document the rehearsed procedure and measured RTO",docs/indexer-multi-region-failover-rehearsal,- Design multi-region indexer failover plan and run a rehearsal recording real RTO,docs: document and rehearse multi-region indexer failover plan
Replace single-source oracle trust with multi-source aggregation and outlier rejection,"Stellar Wave, iln-oracle-service",`oracle-service` currently trusts a single upstream price source per feed — this is a critical single point of failure and manipulation vector for a service that directly influences protocol financial logic.,"- Integrate at least two additional independent upstream price sources per feed
- Implement outlier rejection (e.g. median-absolute-deviation filtering) before an aggregated price is published downstream
- Define and document behavior when sources disagree beyond a configured tolerance (halt vs. flag vs. widest-quorum)
- Add tests simulating a single compromised/erroneous source and verify it can't skew the aggregated output",feat/oracle-multi-source-aggregation,- Add multi-source price aggregation with outlier rejection to oracle-service,feat: add multi-source price aggregation with outlier rejection to oracle-service
Add staleness detection with automatic circuit-breaking to oracle-service,"Stellar Wave, iln-oracle-service","If an upstream price feed silently stops updating, `oracle-service` currently has no mechanism to detect the staleness and halt downstream consumption of a now-frozen, misleading price.","- Track last-updated timestamp per feed and define a per-feed staleness threshold
- Trip a circuit breaker halting downstream consumption of any feed that exceeds its staleness threshold, with explicit alerting
- Define and implement the halt behavior contract that downstream consumers (SDK, contracts via oracle publish) must respect
- Add tests simulating a frozen upstream feed and verify the circuit breaker trips within the defined window",feat/oracle-staleness-circuit-breaker,- Add per-feed staleness detection with automatic circuit-breaking to oracle-service,feat: add staleness detection with automatic circuit-breaking to oracle-service
Write and automate an oracle-service source-failover runbook,"Stellar Wave, iln-oracle-service","There's currently no documented or automated procedure for failing over from a primary to a secondary price source when the primary becomes unreliable — this is currently a manual, undocumented, ad hoc response if it happens at all.","- Document the failover decision criteria (error rate, latency, staleness) and procedure
- Automate the failover trigger so it doesn't depend on a human noticing in time
- Add a failback procedure once the primary source recovers, avoiding flapping
- Add a drill validating the automated failover against a simulated primary-source outage",feat/oracle-source-failover-automation,- Automate oracle-service primary/secondary source failover with a documented drill,feat: automate oracle-service source failover with documented drill
Add manipulation-resistant bounds on maximum single-update price movement in oracle-service,"Stellar Wave, iln-oracle-service",`oracle-service` currently accepts and publishes any upstream-reported price change with no sanity bound — a compromised or erroneous upstream source could push an extreme price delta straight through into protocol logic with no friction.,"- Define a maximum allowed single-update price delta per feed, informed by realistic historical volatility
- Require quorum confirmation (multiple independent sources agreeing) before publishing an update that exceeds the normal-movement bound
- Alert and hold (don't silently drop) any update that's rejected for exceeding bounds, for human review
- Add tests simulating an extreme single-source price spike and verify it's rejected without quorum",feat/oracle-price-delta-bounds,- Add manipulation-resistant maximum-price-delta bounds with quorum override to oracle-service,feat: add manipulation-resistant price-delta bounds to oracle-service
Harden oracle-service signed-update verification with key rotation and replay protection,"Stellar Wave, iln-oracle-service",The signed-update verification path in `oracle-service` needs hardening against replay attacks and needs a defined key-rotation procedure before mainnet — an unrotatable or replayable signing key is an unacceptable long-term operational and security risk.,"- Add nonce/sequence-based replay protection to signed price updates
- Design and implement a key-rotation procedure that doesn't require downtime and doesn't create a window where old and new keys both need trusting indefinitely
- Add tests for replayed-update rejection and for correct behavior during a rotation window
- Document the rotation procedure and replay-protection guarantees",fix/oracle-signed-update-hardening,- Add replay protection and key-rotation support to oracle-service's signed price-update verification,fix: harden oracle-service signed-update verification with replay protection and key rotation
Instrument oracle-service latency SLOs and feed into the unified metrics dashboard,"Stellar Wave, iln-oracle-service","`oracle-service/src/metrics.ts` exists but oracle-update latency (source fetch → aggregation → publish) has no defined SLO or dedicated dashboard panel, making it impossible to detect creeping latency degradation before it becomes a staleness incident.","- Instrument end-to-end latency per pipeline stage (fetch, aggregate, publish) in `oracle-service/src/metrics.ts`
- Define explicit latency SLOs per stage and wire them into the unified metrics dashboard work
- Add burn-rate alerting for SLO violations
- Document the SLOs in `docs/monitoring.md`",feat/oracle-latency-slo-instrumentation,- Instrument per-stage oracle-service latency and wire SLOs into the unified metrics dashboard,feat: instrument oracle-service latency SLOs into the unified metrics dashboard
"Build an immutable, append-only historical price audit trail for oracle-service","Stellar Wave, iln-oracle-service","There is currently no tamper-evident historical record of every price update oracle-service has published, which is a real gap for post-incident forensics (e.g. ""what exact price did we publish at block N and why"") and for auditor review ahead of mainnet.","- Persist every published update (raw source inputs, aggregation result, timestamp, signature) to an append-only, tamper-evident store
- Add a query interface for retrieving the full audit trail for a given time range or feed
- Define and enforce a retention policy consistent with `docs/privacy.md` and audit requirements
- Add integrity-verification tooling (hash chaining or equivalent) that detects any tampering",feat/oracle-immutable-audit-trail,- Add immutable append-only audit trail of all published oracle-service price updates,feat: add immutable historical audit trail to oracle-service
Load-test oracle-service at realistic mainnet update frequency,"Stellar Wave, iln-oracle-service","`scripts/load-test.ts` doesn't currently exercise oracle-service at the update frequency and source-count projected for mainnet, so its actual throughput ceiling and failure mode under sustained real-world load are unknown.","- Extend the load-test harness with an oracle-service-specific scenario modeling realistic mainnet update frequency and source count
- Identify the actual throughput ceiling and the failure mode when it's exceeded (backpressure vs. drop vs. crash)
- Feed results into the staleness-threshold and capacity-planning decisions elsewhere in this batch
- Document results in `docs/load-test-harness.md`",test/oracle-realistic-load-test,- Add oracle-service load-test scenario at realistic mainnet update frequency and source count,test: load-test oracle-service at realistic mainnet update frequency
Define oracle-service's degraded-mode contract when it is fully unavailable,"Stellar Wave, iln-oracle-service","There is no documented, implemented answer to ""what does the protocol do when oracle-service is entirely down"" — this needs an explicit, tested contract rather than being discovered live during an incident.","- Define the intended protocol-wide degraded-mode behavior when oracle-service is unavailable (halt price-dependent operations vs. use last-known-good with a staleness flag)
- Implement and test the chosen behavior consistently across all downstream consumers
- Document the contract clearly for integrators in `docs/oracle-service.md`
- Add an end-to-end test that kills oracle-service entirely and verifies the documented degraded behavior actually occurs",docs/oracle-service-degraded-mode-contract,"- Define, implement, and test oracle-service's degraded-mode contract for full unavailability",docs: define and implement oracle-service degraded-mode contract
Add an upstream-outage chaos test for oracle-service to CI,"Stellar Wave, iln-oracle-service","Oracle-service's resilience to an upstream price-API outage is currently untested in an automated, repeatable way — resilience claims elsewhere in this batch need this as a continuous regression guard, not a one-time manual check.","- Build a chaos-test harness that simulates a full upstream price-API outage (connection refused, timeouts, 5xx) against oracle-service
- Assert the previously-implemented staleness circuit breaker and failover behavior actually trigger correctly under the simulated outage
- Run this as a scheduled or CI-gated chaos test, not a one-off manual exercise
- Wire failures into the same alerting path as a real incident",test/oracle-upstream-outage-chaos-test,"- Add automated upstream-outage chaos test for oracle-service, gated into CI",test: add automated upstream-outage chaos test for oracle-service
Guarantee at-least-once notification delivery with dedup keys,"Stellar Wave, iln-notifications-service",The `notifications` service currently makes a best-effort delivery attempt with no durable retry state — a transient failure or process restart mid-dispatch can silently drop a notification with no record it was ever attempted.,"- Persist every notification dispatch attempt durably before sending, with a dedup key preventing duplicate delivery on retry
- Guarantee at-least-once delivery semantics: a crash mid-dispatch must resume rather than silently drop
- Add tests that kill the process mid-dispatch and verify correct resume without duplication
- Document the delivery guarantee explicitly in `docs/notifications.md`",feat/notifications-at-least-once-delivery,- Add durable dispatch-state persistence with dedup keys for at-least-once notification delivery,feat: guarantee at-least-once notification delivery with dedup keys
Add exponential backoff and a dead-letter queue for permanently-failing notification channels,"Stellar Wave, iln-notifications-service","A permanently-failing notification channel (bad webhook URL, revoked API key) currently has no defined backoff or terminal failure state — it will either retry forever consuming resources or silently give up with no record.","- Implement exponential backoff with a bounded maximum retry count per notification
- Route permanently-failing notifications to a dead-letter store with the failure reason, rather than silently dropping
- Add an operator-facing way to inspect and manually replay dead-lettered notifications
- Add alerting on dead-letter accumulation exceeding a threshold",feat/notifications-backoff-dead-letter-queue,- Add exponential backoff and dead-letter queue for permanently-failing notification channels,feat: add backoff and dead-letter queue for failing notification channels
Add multi-channel fanout with independent per-channel retry state to notifications,"Stellar Wave, iln-notifications-service",Notifications currently couple delivery across channels such that a failure on one channel (e.g. email) can affect delivery to another (e.g. Discord webhook) for the same event — each channel needs fully independent retry and failure state.,"- Decouple the channel-dispatch logic so each channel (email/webhook/Discord) has its own independent retry state and failure tracking
- Ensure a failure on one channel never blocks or delays delivery on another channel for the same underlying event
- Add per-channel delivery-success metrics
- Add tests verifying channel independence under a simulated single-channel outage",feat/notifications-independent-channel-fanout,- Decouple notification channel fanout so each channel retries independently on failure,feat: add independent per-channel retry state to notifications fanout
Add per-recipient rate-limiting to notifications to prevent storm cascades,"Stellar Wave, iln-notifications-service","During an incident cascade (e.g. many status-change events firing at once), a single recipient could receive an overwhelming burst of notifications with no rate limiting in place — this is both a poor user experience and a potential provider-side abuse-detection trigger that could get the sending account blocked.","- Add configurable per-recipient rate limiting with sensible defaults, coalescing or dropping excess notifications beyond the limit
- Ensure rate-limited notifications are logged (not silently lost) so nothing critical disappears without a trace
- Add a load/chaos test simulating an incident-driven notification storm and verify the rate limit holds
- Document the rate-limiting behavior for operators",feat/notifications-per-recipient-rate-limiting,- Add per-recipient rate limiting to notifications with logged coalescing of excess notifications,feat: add per-recipient rate limiting to prevent notification storm cascades
Add a queryable delivery-confirmation audit log to notifications,"Stellar Wave, iln-notifications-service","Support and compliance investigations currently have no reliable way to answer ""was this specific notification actually delivered, and when"" — this needs a durable, queryable audit log, not scattered application logs.","- Persist a delivery-confirmation record (attempt timestamps, channel, final status) for every notification, independent of the transient dispatch-retry state
- Add a query interface (internal API or CLI) to look up delivery history by recipient, event, or time range
- Define and enforce a retention policy consistent with `docs/privacy.md`
- Add tests verifying the audit record is created for every delivery outcome, including permanent failures",feat/notifications-delivery-audit-log,"- Add durable, queryable delivery-confirmation audit log to notifications, independent of dispatch retry state",feat: add queryable delivery-confirmation audit log to notifications
Load-test notifications at 10x current peak volume,"Stellar Wave, iln-notifications-service","`scripts/load-test-notifications.ts` and `scripts/test-load-notifications.js` exist but don't currently establish a validated ceiling at the volume mainnet-scale usage could realistically produce — this batch needs an actual number, not an assumption.","- Extend the existing load-test scripts to a scenario at 10x today's measured peak notification volume
- Identify the actual bottleneck (queue backpressure, provider rate limits, DB writes) and the failure mode once the ceiling is exceeded
- Feed findings into the rate-limiting and backoff work elsewhere in this batch
- Document the validated capacity ceiling in `docs/load-test-harness.md`",test/notifications-10x-peak-load-test,- Extend notifications load-test scripts to a 10x-peak-volume scenario and document the validated ceiling,test: load-test notifications at 10x current peak volume
Audit all outbound notification templates for template-injection vulnerabilities,"Stellar Wave, iln-notifications-service","Notification templates that interpolate user- or chain-derived data (addresses, memo fields, invoice metadata) are a plausible injection vector if any interpolation isn't properly escaped for its output context (HTML email, webhook JSON, Discord markdown) — this needs a systematic audit, not spot checks.","- Enumerate every outbound template and every interpolated field, tracing each field back to its data source (user input vs. chain data vs. internal)
- Verify context-appropriate escaping/encoding is applied for every interpolation across every output format
- Add regression tests using adversarial payloads (HTML/script injection, Discord markdown abuse, JSON-breaking characters) per template
- Fix any gap found and document the escaping contract for future template authors",fix/notifications-template-injection-audit,- Audit and harden all outbound notification templates against template-injection vulnerabilities,fix: harden notification templates against injection across all output formats
Define and implement a degraded-mode fallback for notifications when a downstream provider is down,"Stellar Wave, iln-notifications-service","When the email or webhook host provider itself has an outage, notifications currently has no defined fallback behavior — critical alerts could silently fail to reach anyone with no secondary path.","- Define a fallback channel (or set of channels) to be used automatically when a primary provider's health check fails
- Implement automatic provider health checking and fallback routing
- Ensure critical/high-priority notifications get preferential fallback treatment over low-priority ones under constrained fallback capacity
- Add a drill simulating a primary-provider outage and verify fallback delivery actually occurs",feat/notifications-provider-degraded-fallback,- Add automatic provider health-checking with fallback-channel routing to notifications,feat: add degraded-mode provider fallback to notifications
Add distributed tracing across the indexer → oracle-service → notifications request path,"Stellar Wave, tooling","There's currently no shared trace context propagated across the three services in `docs/monitoring.md`'s scope, which makes root-causing a cross-service latency or failure issue a manual, log-correlation-by-timestamp exercise rather than a single trace view.","- Introduce a shared trace-context propagation mechanism (e.g. W3C traceparent) across indexer, oracle-service, and notifications service boundaries
- Instrument the major cross-service call paths with spans
- Wire traces into a queryable backend accessible during incident response
- Document the tracing setup in `docs/monitoring.md`",feat/cross-service-distributed-tracing,"- Add shared trace-context propagation and span instrumentation across indexer, oracle-service, and notifications","feat: add distributed tracing across indexer, oracle-service, and notifications"
Replace simple-threshold alerts with multi-window multi-burn-rate SLO alerting,"Stellar Wave, tooling","Current alerting per `docs/monitoring.md` uses simple static thresholds, which are prone to both alert fatigue on brief blips and slow detection of a slow, sustained burn — multi-window multi-burn-rate alerting is the production-grade standard this needs to move to.","- Define explicit SLOs and error budgets for the core user-facing paths (indexer read API, oracle freshness, notification delivery)
- Implement multi-window, multi-burn-rate alert rules per the standard SRE pattern (fast burn short window + slow burn long window)
- Migrate existing static-threshold alerts to the new model, retiring the old rules
- Document the SLOs, error budgets, and alert rules in `docs/monitoring.md`",feat/multi-burn-rate-slo-alerting,- Replace static-threshold alerts with multi-window multi-burn-rate SLO alerting,"feat: add multi-window multi-burn-rate SLO alerting, retiring static thresholds"
"Finalize a unified Grafana dashboard tying together indexer, oracle-service, and notifications metrics","Stellar Wave, tooling","Each service (`indexer/src/metrics.ts`, `oracle-service/src/metrics.ts`) exposes its own metrics, but there's no single operator-facing dashboard correlating them, which slows down cross-service incident triage.","- Design a unified dashboard with per-service panels plus explicit cross-service correlation panels (e.g. oracle latency vs. notification volume during an incident)
- Wire in the cost-attribution and latency-SLO instrumentation work from elsewhere in this batch
- Version the dashboard definition as code, reviewed like any other change
- Document the dashboard's location and intended use in `docs/monitoring.md`",feat/unified-metrics-dashboard,"- Build unified, code-defined Grafana dashboard correlating indexer, oracle-service, and notifications metrics",feat: finalize unified cross-service metrics dashboard
